"YEAR","PUMA","PUMA_YEAR"
2000,101,NA
2000,102,NA
2000,103,NA
2000,200,NA
2000,300,NA
2000,400,NA
2000,501,NA
2000,502,NA
2000,600,NA
2000,700,NA
2000,801,NA
2000,802,NA
2000,803,NA
2000,804,NA
2000,805,NA
2000,806,NA
2000,807,NA
2000,808,NA
2000,809,NA
2000,810,NA
2000,811,NA
2000,812,NA
2000,813,NA
2000,814,NA
2000,815,NA
2000,816,NA
2000,817,NA
2000,818,NA
2000,819,NA
2000,820,NA
2000,821,NA
2000,822,NA
2000,901,NA
2000,902,NA
2000,903,NA
2000,904,NA
2000,905,NA
2000,1000,NA
2001,NA,NA
2002,NA,NA
2003,NA,NA
2004,NA,NA
2005,101,"PUMA00"
2005,102,"PUMA00"
2005,103,"PUMA00"
2005,200,"PUMA00"
2005,300,"PUMA00"
2005,400,"PUMA00"
2005,501,"PUMA00"
2005,502,"PUMA00"
2005,600,"PUMA00"
2005,700,"PUMA00"
2005,801,"PUMA00"
2005,802,"PUMA00"
2005,803,"PUMA00"
2005,804,"PUMA00"
2005,805,"PUMA00"
2005,806,"PUMA00"
2005,807,"PUMA00"
2005,808,"PUMA00"
2005,809,"PUMA00"
2005,810,"PUMA00"
2005,811,"PUMA00"
2005,812,"PUMA00"
2005,813,"PUMA00"
2005,814,"PUMA00"
2005,815,"PUMA00"
2005,816,"PUMA00"
2005,817,"PUMA00"
2005,818,"PUMA00"
2005,819,"PUMA00"
2005,820,"PUMA00"
2005,821,"PUMA00"
2005,822,"PUMA00"
2005,901,"PUMA00"
2005,902,"PUMA00"
2005,903,"PUMA00"
2005,904,"PUMA00"
2005,905,"PUMA00"
2005,1000,"PUMA00"
2006,101,"PUMA00"
2006,102,"PUMA00"
2006,103,"PUMA00"
2006,200,"PUMA00"
2006,300,"PUMA00"
2006,400,"PUMA00"
2006,501,"PUMA00"
2006,502,"PUMA00"
2006,600,"PUMA00"
2006,700,"PUMA00"
2006,801,"PUMA00"
2006,802,"PUMA00"
2006,803,"PUMA00"
2006,804,"PUMA00"
2006,805,"PUMA00"
2006,806,"PUMA00"
2006,807,"PUMA00"
2006,808,"PUMA00"
2006,809,"PUMA00"
2006,810,"PUMA00"
2006,811,"PUMA00"
2006,812,"PUMA00"
2006,813,"PUMA00"
2006,814,"PUMA00"
2006,815,"PUMA00"
2006,816,"PUMA00"
2006,817,"PUMA00"
2006,818,"PUMA00"
2006,819,"PUMA00"
2006,820,"PUMA00"
2006,821,"PUMA00"
2006,822,"PUMA00"
2006,901,"PUMA00"
2006,902,"PUMA00"
2006,903,"PUMA00"
2006,904,"PUMA00"
2006,905,"PUMA00"
2006,1000,"PUMA00"
2007,101,"PUMA00"
2007,102,"PUMA00"
2007,103,"PUMA00"
2007,200,"PUMA00"
2007,300,"PUMA00"
2007,400,"PUMA00"
2007,501,"PUMA00"
