"YEAR","REGION","OWNERSHP","VACANCY","vac","vac_se","vac_moe"
"2005","1","Vacant","For migrant farm workers",159,158.99999999999903,261.5549999999984
"2005","1","Vacant","For rent or sale",1810,698.7848178899649,1149.5010254289923
"2005","1","Vacant","For sale only",1466,631.6951491682024,1039.138520381693
"2005","1","Vacant","For seasonal, recreational or other occasional use",7690,1343.4529069218393,2209.9800318864254
"2005","1","Owned or being bought (loan)","Occupied",66922,2914.8880350336726,4794.990817630392
"2005","1","Rented","Occupied",27608,2241.6418349971445,3687.5008185703027
"2005","1","Vacant","Other vacant",3103,827.0534193643673,1360.5028748543841
"2005","1","Vacant","Rented or sold but not (yet) occupied",887,523.7098806701891,861.5027537024612
"2005","2","Vacant","For rent or sale",6727,1190.5629070337638,1958.4759820705415
"2005","2","Vacant","For sale only",4745,1082.455304072582,1780.6389751993975
"2005","2","Vacant","For seasonal, recreational or other occasional use",53445,3539.486304775048,5822.454971354954
"2005","2","Owned or being bought (loan)","Occupied",107755,3951.8015239065917,6500.713506826343
"2005","2","Rented","Occupied",47897,3327.5258482484132,5473.78002036864
"2005","2","Vacant","Other vacant",7682,1360.634398146012,2238.24358495019
"2005","2","Vacant","Rented or sold but not (yet) occupied",2444,729.9979699230394,1200.8466605233998
"2005","3","Vacant","For migrant farm workers",21,20.999999999999968,34.544999999999945
"2005","3","Vacant","For rent or sale",49047,3693.5635359799558,6075.912016687027
"2005","3","Vacant","For sale only",25069,2796.6918655133886,4600.558118769524
"2005","3","Vacant","For seasonal, recreational or other occasional use",17058,2287.797438940108,3763.4267870564777
"2005","3","Owned or being bought (loan)","Occupied",992218,9065.14367049383,14912.16133796235
"2005","3","Rented","Occupied",478472,9392.623316739175,15450.865356035942
"2005","3","Vacant","Other vacant",21384,2486.4854244324515,4090.268523191383
"2005","3","Vacant","Rented or sold but not (yet) occupied",14323,1819.4451328487803,2992.9872435362436
"2005","4","Vacant","For rent or sale",3064,796.7557193969848,1310.6631584080399
"2005","4","Vacant","For sale only",1103,340.7835118206155,560.5888769449125
"2005","4","Vacant","For seasonal, recreational or other occasional use",6500,874.8951462464612,1439.2025155754286
"2005","4","Owned or being bought (loan)","Occupied",64757,2595.476150208413,4269.55826709284
"2005","4","Rented","Occupied",27315,2159.5947078959093,3552.533294488771
"2005","4","Vacant","Other vacant",5226,808.8644473695788,1330.5820159229572
"2005","4","Vacant","Rented or sold but not (yet) occupied",781,371.01751514155666,610.3238124078607
"2006","1","Vacant","For rent or sale",1387,529.0468122024985,870.28200607311
"2006","1","Vacant","For sale only",1392,502.1170587344529,825.982561618175
"2006","1","Vacant","For seasonal, recreational or other occasional use",7835,1202.3708631583206,1977.9000698954374
"2006","1","Owned or being bought (loan)","Occupied",69032,2909.864794538366,4786.727587015612
"2006","1","Rented","Occupied",27940,2314.69949518451,3807.680669578519
"2006","1","Vacant","Other vacant",3016,781.2201503634917,1285.107147347944
"2006","1","Vacant","Rented or sold but not (yet) occupied",1689,571.9811557423419,940.9090011961524
"2006","2","Vacant","For rent or sale",5300,991.1730527647594,1630.4796717980291
"2006","2","Vacant","For sale only",3952,981.0628954414319,1613.8484630011556
"2006","2","Vacant","For seasonal, recreational or other occasional use",65236,3815.425462738685,6276.374886205137
