State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,Region,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
08,00200,0800200,G08000200,Colorado,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",08,00100,0800100,G08000100,Colorado,Northwest Colorado,1,100359,100359,100359,100,100,106335,106335,106335,100,100,34378624020,34378628902,34378622813,100,100
08,00400,0800400,G08000400,Colorado,"Eagle, Summit, Grand & Jackson Counties",08,00200,0800200,G08000200,Colorado,Mid Mountain,2,113576,113576,113576,100,100,121240,121240,121240,100,100,17414208434,17414208434,17414208434,100,100
08,00900,0800900,G08000900,Colorado,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",35,00200,3500200,G35000200,New Mexico,"San Juan County (NE)--Farmington, Bloomfield & Aztec Cities",2,107883,106643,0,0,0,115583,100592,0,0,0,28179602961,7462382008,6645,0,0
08,00102,0800102,G08000102,Colorado,Larimer County (South)--Loveland City,08,00301,0800301,G08000301,Colorado,Larimer,3,115164,95652,28303,24.58,29.59,137668,104570,29774,21.63,28.47,1875508819,6209551269,1601284390,85.38,25.79
08,00103,0800103,G08000103,Colorado,Larimer County (North)--Fort Collins City,08,00301,0800301,G08000301,Colorado,Larimer,3,184466,95652,67349,36.51,70.41,221398,104570,74796,33.78,71.53,4847505283,6209551269,4608266879,95.06,74.21
08,00102,0800102,G08000102,Colorado,Larimer County (South)--Loveland City,08,00302,0800302,G08000302,Colorado,Fort Collins,3,115164,117117,0,0,0,137668,146602,0,0,0,1875508819,239232250,5143,0,0
08,00103,0800103,G08000103,Colorado,Larimer County (North)--Fort Collins City,08,00302,0800302,G08000302,Colorado,Fort Collins,3,184466,117117,117117,63.49,100,221398,146602,146602,66.22,100,4847505283,239232250,239227107,4.94,100
08,00102,0800102,G08000102,Colorado,Larimer County (South)--Loveland City,08,00303,0800303,G08000303,Colorado,Loveland,3,115164,86861,86861,75.42,100,137668,107894,107894,78.37,100,1875508819,274230583,274219286,14.62,100
08,00103,0800103,G08000103,Colorado,Larimer County (North)--Fort Collins City,08,00303,0800303,G08000303,Colorado,Loveland,3,184466,86861,0,0,0,221398,107894,0,0,0,4847505283,274230583,11297,0,0
08,00801,0800801,G08000801,Colorado,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties",08,00401,0800401,G08000401,Colorado,Foothills,3,101056,104531,101055,100,96.67,105222,108651,105221,100,96.84,4055565092,4062608357,4055428032,100,99.82
08,00803,0800803,G08000803,Colorado,Boulder County (Central)--Boulder City,08,00401,0800401,G08000401,Colorado,Foothills,3,113853,104531,0,0,0,126584,108651,0,0,0,181131663,4062608357,17201,0.01,0
08,00818,0800818,G08000818,Colorado,"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities",08,00401,0800401,G08000401,Colorado,Foothills,3,116177,104531,3476,2.99,3.33,125709,108651,3430,2.73,3.16,105370904,4062608357,7161158,6.8,0.18
08,04101,0804101,G08004101,Colorado,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City,08,00401,0800401,G08000401,Colorado,Foothills,3,111548,104531,0,0,0,141822,108651,0,0,0,6010002369,4062608357,1966,0,0
08,00802,0800802,G08000802,Colorado,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,08,00501,0800501,G08000501,Colorado,East Boulder,3,154539,108744,108744,70.37,100,196267,124959,124959,63.67,100,785530510,322532829,322532829,41.06,100
08,00801,0800801,G08000801,Colorado,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties",08,00502,0800502,G08000502,Colorado,Boulder,3,101056,113854,1,0,0,105222,126593,1,0,0,4055565092,181279031,137060,0,0.08
