PUMA,PUMA_YEAR,REGION
101,PUMA00,1
102,PUMA00,3
103,PUMA00,1
200,PUMA00,3
300,PUMA00,3
400,PUMA00,4
501,PUMA00,4
502,PUMA00,3
600,PUMA00,2
700,PUMA00,2
801,PUMA00,3
802,PUMA00,3
803,PUMA00,3
804,PUMA00,3
805,PUMA00,3
806,PUMA00,3
807,PUMA00,3
808,PUMA00,3
809,PUMA00,3
810,PUMA00,3
811,PUMA00,3
812,PUMA00,3
813,PUMA00,3
814,PUMA00,3
815,PUMA00,3
816,PUMA00,3
817,PUMA00,3
818,PUMA00,3
819,PUMA00,3
820,PUMA00,3
821,PUMA00,3
822,PUMA00,3
901,PUMA00,3
902,PUMA00,3
903,PUMA00,3
904,PUMA00,3
905,PUMA00,3
1000,PUMA00,2
100,PUMA10,4
102,PUMA10,3
103,PUMA10,3
200,PUMA10,1
300,PUMA10,3
400,PUMA10,2
600,PUMA10,2
700,PUMA10,3
800,PUMA10,4
801,PUMA10,3
802,PUMA10,3
803,PUMA10,3
804,PUMA10,3
805,PUMA10,3
806,PUMA10,3
807,PUMA10,3
808,PUMA10,3
809,PUMA10,3
810,PUMA10,3
811,PUMA10,3
812,PUMA10,3
813,PUMA10,3
814,PUMA10,3
815,PUMA10,3
816,PUMA10,3
817,PUMA10,3
818,PUMA10,3
819,PUMA10,3
820,PUMA10,3
821,PUMA10,3
822,PUMA10,3
823,PUMA10,3
824,PUMA10,3
900,PUMA10,2
1001,PUMA10,1
1002,PUMA10,1
4101,PUMA10,3
4102,PUMA10,3
4103,PUMA10,3
4104,PUMA10,3
4105,PUMA10,3
4106,PUMA10,3
100,PUMA20,1
200,PUMA20,2
301,PUMA20,3
302,PUMA20,3
303,PUMA20,3
401,PUMA20,3
501,PUMA20,3
502,PUMA20,3
601,PUMA20,3
701,PUMA20,3
702,PUMA20,3
703,PUMA20,3
801,PUMA20,3
901,PUMA20,3
902,PUMA20,3
1001,PUMA20,3
1002,PUMA20,3
1003,PUMA20,3
1101,PUMA20,3
1201,PUMA20,3
1202,PUMA20,3
1301,PUMA20,3
1401,PUMA20,3
1501,PUMA20,3
1601,PUMA20,3
1602,PUMA20,3
1603,PUMA20,3
1701,PUMA20,3
1702,PUMA20,3
1703,PUMA20,3
1704,PUMA20,3
1705,PUMA20,3
1800,PUMA20,4
1900,PUMA20,4
2001,PUMA20,3
2002,PUMA20,3
2003,PUMA20,3
2004,PUMA20,3
2005,PUMA20,3
2006,PUMA20,3
2101,PUMA20,2
2200,PUMA20,2
2301,PUMA20,3
2401,PUMA20,1
2501,PUMA20,1
